evaluations raw_y x0 x1
1 6.4816400474 2.739560 -0.611216
3 0.8594377532 0.788525 -1.913395
7 0.4994888066 0.854556 -0.786154
11 0.2700761168 0.669694 -1.467083
22 0.0679130196 0.004184 -1.234922
23 0.0371645287 0.120870 -1.016234
59 0.0365295529 0.353546 -0.994381
85 0.0179241153 0.196908 -1.035144
100 0.0054688234 0.191786 -1.198587
135 0.0018008468 0.244942 -1.198502
1000 5.0097163500 -0.285880 1.015650
evaluations raw_y x0 x1
1 5.9344315790 -4.576539 -0.550622
4 2.1065626929 -4.670733 -1.661553
7 1.4979992345 -4.011936 -1.671750
9 0.3318110204 -4.040019 -2.332050
11 0.0697687794 -4.025339 -3.122036
32 0.0432129221 -3.752476 -2.742348
33 0.0272172458 -4.061499 -2.915220
59 0.0169219760 -3.998801 -2.807685
109 0.0081787800 -3.987523 -2.905759
666 0.0074222727 -3.968532 -2.940438
1000 2.2167232154 -4.618135 -4.193743
evaluations raw_y x0 x1
1 4.8676559815 -2.807282 -1.767927
2 1.6704711245 -2.533961 0.470905
4 1.4394550582 -2.851989 0.940601
10 0.9426010866 -3.172969 0.945788
13 0.1179732112 -4.060359 -0.018951
33 0.0437834207 -3.878927 0.396329
42 0.0315077286 -3.801070 0.025716
106 0.0161538871 -3.766893 0.326331
158 0.0049808815 -3.795571 0.273719
407 0.0011592589 -3.813005 0.233956
528 0.0004412937 -3.781826 0.216108
1000 1.9247852288 -3.578660 -1.166654
evaluations raw_y x0 x1
1 4.8422369536 1.501629 2.733000
4 0.5984676224 0.498150 1.311271
5 0.4217345911 0.309676 1.722242
18 0.1896792928 0.007995 1.086440
19 0.0433068614 -0.294930 1.630247
102 0.0139625422 -0.149764 1.437086
138 0.0112716353 -0.272440 1.317961
307 0.0061710743 -0.333488 1.381846
309 0.0057893801 -0.251958 1.349454
440 0.0024442381 -0.250910 1.470679
827 0.0003810525 -0.270615 1.404781
1000 0.2310331652 0.155307 1.653175
evaluations raw_y x0 x1
1 12.0911574097 0.191486 1.247422
9 6.5849865252 1.346218 1.835340
15 3.8326009326 2.261486 2.050200
21 0.9688524029 3.903417 1.576115
29 0.2590867367 4.019229 0.943745
49 0.0631207039 3.381748 0.730035
118 0.0285389025 3.460084 0.566457
132 0.0227900811 3.712781 0.520695
260 0.0106738081 3.716066 0.616823
299 0.0053529846 3.541347 0.639230
1000 1.2742794175 3.626596 1.763974
evaluations raw_y x0 x1
1 33.4049828675 -2.248829 2.814483
2 18.0489651332 -1.349706 1.342212
5 8.8069062076 -2.925629 -0.347789
8 3.6183786340 -2.180422 -1.161653
10 0.3549437583 -1.276333 -2.327609
11 0.1142518843 -1.474281 -2.571846
43 0.0593852564 -1.342865 -3.136493
47 0.0034501067 -1.474608 -2.929154
961 0.0030408130 -1.463792 -2.871067
1000 1.4392091018 -0.626315 -3.804490
evaluations raw_y x0 x1
1 27.6238950926 4.564296 -2.238601
3 15.8022803255 3.176543 -2.056304
8 12.0616766154 0.521380 -3.193090
9 9.5645705576 0.395671 -2.828361
11 8.3844519618 -0.726593 -2.593741
12 4.7668984891 -0.745994 -1.850239
13 2.7800767720 0.320829 -1.391249
16 0.5322999713 -0.206927 -0.489891
17 0.4407548104 0.545794 -0.002502
31 0.2299559290 0.278830 0.549688
35 0.1023257310 -0.276380 -0.021987
53 0.0486831683 -0.107881 0.009557
65 0.0432433183 0.034150 0.052121
132 0.0413803209 0.058591 0.076179
148 0.0160375691 0.045894 0.196634
204 0.0035414338 -0.051933 0.173935
566 0.0000649077 -0.068988 0.226028
1000 0.0935203619 0.206751 0.113462
evaluations raw_y x0 x1
1 58.6352033283 -4.888823 3.862607
2 48.2395930202 -3.818579 5.000000
3 45.9200721093 -3.638926 4.993428
4 39.8322591073 -3.383065 4.335506
5 33.0918740896 -2.618086 4.776682
7 29.2755564338 -2.599097 3.806626
8 26.4300585333 -2.247492 4.043618
9 21.3579450509 -1.287074 4.875165
10 20.1377436476 -1.396300 4.403078
12 17.7555291408 -0.912546 4.704490
15 9.0631085584 -0.149475 3.577005
20 5.9018075133 0.387359 3.354456
24 4.0546354293 0.734144 3.097828
26 2.9065966214 1.101570 3.176821
30 1.0956266225 1.806345 3.069538
31 0.4852567148 2.544623 3.118200
37 0.0599811009 2.853135 2.534127
73 0.0579458981 2.695365 2.659647
81 0.0073390457 2.716671 2.444655
426 0.0065596040 2.713741 2.430065
432 0.0019103149 2.604501 2.460509
1000 0.5614923753 3.317711 2.123244
evaluations raw_y x0 x1
1 7.7785064773 -0.181072 4.817263
2 3.1760373695 1.208075 4.469022
6 1.1578081383 0.630024 2.895906
8 0.4820052137 1.024085 2.926837
9 0.0518338336 1.922216 2.723243
41 0.0229591972 1.754161 2.614954
48 0.0217746117 1.729145 2.611226
97 0.0114590760 1.802424 2.737802
160 0.0092849502 1.613653 2.706502
467 0.0055633912 1.759395 2.714639
840 0.0039900730 1.715054 2.815672
1000 2.7556659568 1.878289 1.105131
evaluations raw_y x0 x1
1 52.1009035425 4.059445 4.301853
