evaluations raw_y x0 x1
1 15799923.2349883057 3.262506 4.431918
2 7458893.4932450205 3.215108 3.085552
3 6453335.2704086639 2.499752 2.841361
5 4828.9966289958 1.761925 0.371379
26 1866.3555995491 2.710169 0.407752
29 293.6248893761 2.231955 0.431199
146 31.0252609450 3.509830 0.452749
171 29.3360919058 3.108364 0.452971
444 9.5353435189 3.953697 0.449387
527 7.4215234844 3.690485 0.447233
1000 1969341.1173123496 4.720971 -0.843262
evaluations raw_y x0 x1
1 3787038.2655967269 1.702449 0.727821
2 6839.1894948981 1.684593 2.532212
22 361.1712040591 2.703533 2.641140
33 76.5919628233 1.566042 2.612231
34 22.4039796187 1.042280 2.625949
325 0.6460509329 1.306050 2.622105
1000 261933.2434179430 2.352352 2.096647
evaluations raw_y x0 x1
1 27735248.7200937793 -2.216287 -1.823417
2 21593667.3294540681 -1.383724 -1.047091
5 13809508.7029771321 -1.667133 -0.069617
7 4645913.1278274264 -3.135398 1.463441
10 3943265.3601915049 -3.411078 1.695620
15 2941786.1587459715 -3.481369 2.055796
19 211072.5706328667 -2.503258 3.193041
22 429.0754749288 -1.711227 3.666364
47 10.1083231813 -0.640582 3.648898
173 0.9365058296 -0.447696 3.644838
1000 284791.7335315101 -0.131669 3.087813
evaluations raw_y x0 x1
1 6438858.7242834903 0.904478 0.029717
5 3360454.0670193294 1.174719 -0.456746
6 2469002.4350096309 -0.633307 -0.653954
7 1372925.3630453395 -1.210131 -1.267915
12 811455.8633965995 -1.235038 -1.416042
15 55127.9163805641 -0.987852 -2.125563
19 37918.0385656077 -0.568208 -2.549437
22 27990.2887028923 -0.356410 -2.518563
38 15217.3549196846 -0.069502 -2.235778
39 3503.6370736371 0.944197 -2.305597
78 2392.5774342936 -1.506459 -2.407364
121 377.5667161244 -1.276052 -2.380179
123 212.3389543581 -0.447035 -2.346300
199 90.8444229291 -2.119270 -2.370736
424 5.7095846032 -1.633167 -2.358882
593 0.9822952295 -1.247039 -2.361424
1000 213544.1470764529 0.785287 -1.886336
evaluations raw_y x0 x1
1 634700.8702419552 -4.282709 -3.047372
2 23.8799467862 -4.473551 -3.919062
837 19.3920246703 -2.948501 -3.922904
867 1.8118482934 -0.804134 -3.920384
1000 768783.7297038228 0.722483 -4.830826
evaluations raw_y x0 x1
1 8834434.4573453888 -3.035452 4.662921
3 540037.1419822349 -2.882109 2.438362
5 144775.3316889245 -2.954322 2.037431
17 21072.3087726641 -2.373842 1.786689
23 2990.0198734966 -1.551493 1.685645
44 338.4022736529 -0.704633 1.617834
322 7.9992065701 -1.094719 1.638597
1000 3248400.2689676206 0.842703 -0.061062
evaluations raw_y x0 x1
1 9256385.4448258821 -4.247692 1.092858
5 8241279.3273897329 -3.625563 0.847988
6 7762244.6093662372 -2.715710 0.703879
7 6750796.8214016128 -2.376974 0.429754
8 6123457.3219257519 -4.245197 0.306220
12 4106268.2364522405 -5.000000 -0.002571
18 1631770.1444746379 -5.000000 -0.863217
20 36903.1517124899 -4.817285 -2.211085
31 3658.7121262367 -4.608373 -2.090446
51 2902.2891774398 -4.733077 -2.079488
66 10.7457656707 -5.000000 -2.028435
122 3.8029545385 -5.000000 -2.026634
821 2.7851917188 -4.881150 -2.026157
1000 1159254.8346438408 -5.000000 -3.079125
evaluations raw_y x0 x1
1 10911868.7376087792 2.919150 -2.499945
5 9347842.2096602172 3.325519 -2.279151
7 5577096.1717996523 4.766975 -1.593854
11 4017660.7554929936 4.711056 -1.137089
12 1122591.7410060065 5.000000 -0.202394
13 960645.6937147776 5.000000 -0.146771
16 351625.9751064128 5.000000 1.393582
17 63809.1237598070 4.850273 0.585900
24 44711.7700555091 5.000000 0.630516
38 3655.8943717648 3.545353 0.900498
40 102.8884445837 4.137955 0.849199
78 100.1283750928 4.736233 0.848908
132 40.8854274986 4.458633 0.832892
170 35.3562465562 5.000000 0.834112
233 5.9214006598 5.000000 0.839169
1000 91125.0242540884 4.718525 0.540480
evaluations raw_y x0 x1
1 2116098.5673194434 -0.104699 1.642833
6 50323.2557192418 -0.239269 -0.125118
13 27303.7553921334 -0.002273 0.265179
27 6170.6843080554 0.257672 0.012726
28 24.9584699177 -0.739486 0.095391
260 20.2098119991 -1.305921 0.098512
1000 766307.8659946206 0.134535 -0.811359
evaluations raw_y x0 x1
1 7462880.7766569573 0.216085 4.022724
2 6450647.2688600849 0.322253 3.776832
3 2136223.7296794993 0.018748 2.943697
5 2111888.4530217298 -1.660310 2.925012
6 2064578.0298149455 -1.724430 2.878087
7 1492568.9391385964 -1.059563 2.507348
9 763682.1875709766 -1.211775 0.475369
20 60822.9117131093 0.364591 1.630539
37 20922.5399584608 1.162305 1.534236
38 23.3311147359 0.228879 1.379650
260 17.3537940131 0.416933 1.387875
371 2.5325311515 0.999527 1.384652
1000 1984214.5023141862 1.398019 2.742924
evaluations raw_y x0 x1
1 3911598.4409915055 2.154737 -1.303253
2 2634967.1185403578 0.310832 -1.542910
4 66594.8014673280 -0.692947 -3.040154
8 52475.8782982468 -0.756638 -3.525569
11 32666.0814689301 -0.332497 -3.117427
25 10728.6160119694 0.545233 -3.402510
34 2681.9522849839 1.337158 -3.347326
51 311.8543032157 1.349367 -3.314043
241 71.5250978693 0.510518 -3.305327
246 5.0751844670 2.488387 -3.294980
539 3.7906122833 1.863043 -3.297162
1000 1614397.3945006917 -0.016730 -4.487090
evaluations raw_y x0 x1
1 46718676.0830665082 0.037575 3.254384
4 34507427.4344862103 -1.065754 2.517133
5 20641782.8158353232 0.506698 1.211713
7 17814895.8794719167 -2.092549 0.874026
8 15437011.1335035022 -1.144976 0.603977
10 9350611.3865240645 -0.832240 -0.201893
12 7573332.1147452611 -1.978324 -0.667547
16 7120194.9944451274 -1.216209 -0.795452
17 1872842.4022659119 -0.514405 -2.081325
19 931057.4640048731 0.170058 -2.358093
22 1112.6792818786 -1.088619 -3.302825
89 995.8361280750 -1.008613 -3.369649
96 10.9265654524 -1.274420 -3.338741
270 10.2275678683 -0.178115 -3.341632
635 5.2286241225 -0.205431 -3.338590
1000 706302.2244429205 0.518905 -2.433081
evaluations raw_y x0 x1
1 8950514.8002737984 -2.896796 -0.051586
3 7875363.5133809848 -1.934805 0.119839
4 4510598.0617687022 -1.384667 0.866724
6 2066770.6902775425 -1.972036 1.688087
7 1788864.7803483310 -1.369165 1.767192
8 1289213.9708529506 -0.420284 1.912834
12 9658.2002569425 1.078463 2.905482
46 9067.3592504951 2.687692 3.098346
73 522.2443254410 1.070295 2.984574
74 15.3960724119 0.479323 3.008235
1000 291164.2391071549 0.382692 3.528894
evaluations raw_y x0 x1
1 6231171.6058219923 -0.967049 -0.987184
4 2305754.2637480521 -1.643714 -1.689439
5 135538.5534800078 -1.146342 -2.955858
9 3286.0393568036 -1.220019 -3.398144
22 1867.7532189262 -1.544461 -3.378671
39 824.3673485304 -0.805730 -3.311409
52 24.7102621091 -0.417393 -3.333722
381 1.4849006335 0.627899 -3.338917
1000 500821.2109930383 -0.472274 -2.613751
evaluations raw_y x0 x1
1 527318.8489558422 -3.250965 -2.298887
3 169355.9445461787 -3.320925 -3.483312
6 11510.0081081697 -3.298642 -3.193198
17 5545.8919219465 -2.107011 -3.166566
28 488.0169316988 -2.614544 -3.106701
46 347.1939692135 -1.067808 -3.065601
73 200.9690194862 -1.465366 -3.071076
78 151.3956174807 -2.576133 -3.096600
128 65.1841306693 -1.832187 -3.092856
177 29.3811783051 -2.645298 -3.088210
