evaluations raw_y x0 x1
1 23.5434638066 4.758863 0.642882
3 14.1318645960 2.082703 2.126997
4 0.8563319970 1.118578 -0.830057
32 0.1748242765 -0.096888 -1.386022
179 0.1716598446 -0.129436 -0.996938
272 0.0806979792 0.285255 -0.874586
1000 30.3140621397 -4.025671 -4.622164
evaluations raw_y x0 x1
1 17.4605156257 -3.980154 1.287378
8 7.2586963891 -4.926355 -0.400017
12 6.4796390166 -4.341477 -0.383745
15 4.5409369153 -1.872942 -2.228241
16 4.1384878772 -2.112586 -3.864749
47 2.4761190741 -4.763277 -1.575825
62 0.4034561624 -4.229404 -2.348281
63 0.1655442064 -4.269682 -3.056814
477 0.0685963845 -3.996214 -2.647441
1000 26.8306269442 1.122697 -1.617919
evaluations raw_y x0 x1
1 0.6195252188 -3.319974 0.828207
29 0.3406125577 -4.265754 0.552761
34 0.1629623992 -4.099073 0.472566
486 0.1203923787 -3.850214 0.546286
1000 57.3767185967 3.590347 -1.465071
evaluations raw_y x0 x1
1 7.6329523355 -2.808288 2.508354
5 4.8417459003 0.406482 -0.670731
12 4.4193486498 -1.858486 2.797739
13 1.5256788345 -1.456435 1.090237
80 1.3223881880 -1.371349 1.102686
168 1.2397783051 -1.363616 1.618038
191 1.2152065926 -1.000143 0.600592
234 0.5078834687 -0.243540 2.136267
277 0.0478044924 -0.093121 1.556291
569 0.0107212760 -0.301895 1.326442
1000 52.6368148360 -4.223295 -4.657622
evaluations raw_y x0 x1
1 4.1907674436 1.588208 0.927288
3 3.8073503008 3.051497 -1.233086
29 0.1559287005 3.655821 0.242500
169 0.0288368794 3.448541 0.598764
412 0.0036469022 3.672958 0.649961
1000 2.1761068118 2.904405 1.928264
evaluations raw_y x0 x1
1 87.2925759700 4.089630 4.639447
2 31.8737223513 0.665636 2.340399
4 5.4034515039 0.817440 -3.533083
8 1.1419045605 -0.978420 -1.932870
20 0.6572589823 -0.673190 -3.219190
29 0.4807971936 -0.768783 -2.669652
44 0.1603097940 -1.062344 -2.727222
250 0.0406799871 -1.276329 -3.046341
470 0.0094667379 -1.517394 -2.917277
1000 28.1880796304 -4.053250 1.705071
evaluations raw_y x0 x1
1 18.7773250563 3.996133 1.707373
2 1.0471925892 0.907266 -0.052724
