evaluations raw_y x0 x1
1 8212405.9097529864 -0.530698 -2.494956
5 3569034.9263089052 0.781847 -1.365995
9 143888.7777724313 1.231167 0.847804
24 69448.8920092181 -1.347449 0.709334
102 27086.7008782744 -4.781530 0.293066
129 4727.3889603574 -3.717543 0.522640
208 233.3958532482 3.086445 0.463310
357 47.1504960438 0.317049 0.440713
1000 3540513.1917576543 2.845092 -1.355514
evaluations raw_y x0 x1
1 1639708.0366418702 -2.167766 3.786397
4 589368.6899313865 -0.362908 1.797756
6 15870.0633979136 -4.007980 2.751066
18 1028.3474136660 -2.467943 2.656498
569 428.1536807612 -3.344875 2.642140
753 41.1200494310 -4.754058 2.625243
1000 37660490.2829218283 4.040988 -3.896065
evaluations raw_y x0 x1
1 5931.9307003279 -2.842706 3.561355
35 1218.7161680390 -2.412149 3.612475
164 36.0720133735 -2.304297 3.651376
1000 21909534.0268878601 2.344558 -1.087526
evaluations raw_y x0 x1
1 4827149.2965340232 0.167635 -4.596526
2 281816.7741450500 4.530059 -1.844258
32 267267.8738680466 -0.936020 -2.893500
48 92133.8752650212 -0.719835 -2.660987
50 19722.2670265599 -3.283503 -2.494256
143 93.9256510385 1.792037 -2.351560
759 31.4071375354 0.493448 -2.354947
1000 1167978.4395844892 -1.867866 -3.417134
evaluations raw_y x0 x1
1 7123015.3907143204 1.455830 -1.375519
3 3952107.0783390929 -2.287441 -1.920255
8 549477.7924782481 2.801939 -3.107510
9 15421.8124096913 0.910002 -3.793444
13 26.0717287281 -4.709672 -3.918941
901 25.4385965687 -2.073798 -3.915885
1000 24740497.9583810419 -0.000369 1.112316
evaluations raw_y x0 x1
1 10576208.5794405807 3.220093 -1.657259
3 2316327.2164716185 -4.524641 3.289244
4 524492.6802219643 -3.193251 2.417671
13 108502.9516048708 -3.654519 1.957509
28 23606.5263945458 3.363292 1.491370
107 4042.6787827940 -2.923097 1.705419
212 64.9568217441 1.779735 1.628442
830 28.9563845838 2.582613 1.638401
1000 2562283.0316509283 -1.601170 0.169525
evaluations raw_y x0 x1
1 30353064.3238475062 1.984408 3.527651
2 26619602.7060038708 -4.410286 3.199909
3 26188466.1684170961 2.479201 3.157421
4 8283914.0641127769 0.259900 0.860072
7 3576848.0110892374 -2.091840 -3.842465
9 1988926.6484168274 -2.567782 -0.659111
12 50244.2187827358 -3.000479 -1.801438
27 44928.6035600517 0.465172 -1.814988
72 40259.8931753893 -0.917835 -2.221353
89 11100.6870143600 -1.056143 -2.132635
114 5685.3835536724 -2.367626 -2.108349
295 4476.1631620677 1.818697 -1.952636
345 840.7179744600 0.126746 -1.998497
363 490.8513580118 -2.539591 -2.047933
406 309.0920103722 -1.872340 -2.042853
480 42.6253251872 -1.478736 -2.031987
1000 484088.3169367558 3.867239 -2.783814
evaluations raw_y x0 x1
1 49.0041636487 -1.466467 0.833836
1000 301999.7476470696 3.590720 0.257716
evaluations raw_y x0 x1
1 2905782.1283244011 0.854583 1.915613
8 54152.1813078393 -4.753620 -0.134231
15 196.1000695239 -3.964341 0.086104
199 55.4699800145 -4.564134 0.098108
375 10.8377079294 3.379839 0.101839
1000 10088111.9501842484 4.639771 -3.126811
evaluations raw_y x0 x1
1 24359567.5332016982 2.952702 -3.662917
4 7932830.3568530595 -4.034831 -1.512975
5 519613.3975848980 4.430661 2.157492
7 160459.4971048706 -2.347618 1.809276
19 120004.8490803605 -1.455918 1.728898
46 51019.8689537910 4.118011 1.609964
50 537.3654013653 -3.757914 1.360834
107 18.6129046692 3.217128 1.381707
1000 9693876.2735134773 -4.743651 4.585976
evaluations raw_y x0 x1
1 9558861.0506245587 0.608800 -0.119564
2 1104372.6077686860 -2.986743 -2.269888
3 1032316.8473228709 4.646065 -4.308052
8 297180.5959320082 -4.936026 -3.871667
12 110528.5984526205 3.494063 -2.971564
13 14142.7992326300 0.139285 -3.181204
119 947.3585659623 -0.268534 -3.326539
142 208.8838680654 0.463782 -3.282864
384 201.9770655684 4.398642 -3.282752
509 8.0291621540 1.265090 -3.295145
1000 43217234.3661676720 0.248606 3.094855
evaluations raw_y x0 x1
1 10446072.0146513619 -4.396461 -0.012281
4 2584124.0498291450 4.102574 -1.598843
5 1943796.3004865537 -0.336856 -2.029532
6 491073.4372854115 -3.745639 -2.651560
8 299969.4943064217 3.036003 -3.917949
12 129129.7902977602 3.036274 -3.688217
15 6210.1398877121 4.644107 -3.257565
146 41.7722933612 -3.824971 -3.342367
1000 36130037.5305171236 1.065007 2.624173
evaluations raw_y x0 x1
1 26389181.4608897455 3.019767 -2.296049
2 16172859.2567690946 -2.506256 -1.002822
